stock_symbol,trading_date,close
AAPL,2026-03-24,251.64
AAPL,2026-03-25,252.62
AAPL,2026-03-26,252.89
AAPL,2026-03-27,248.8
AAPL,2026-03-30,246.63
AAPL,2026-03-31,253.79
AMZN,2026-03-24,207.24
AMZN,2026-03-25,211.71
AMZN,2026-03-26,207.54
AMZN,2026-03-27,199.34
AMZN,2026-03-30,200.95
AMZN,2026-03-31,208.27
GOOGL,2026-03-24,290.44
GOOGL,2026-03-25,290.93
GOOGL,2026-03-26,280.92
GOOGL,2026-03-27,274.34
GOOGL,2026-03-30,273.5
GOOGL,2026-03-31,287.56
JPM,2026-03-24,292.4
JPM,2026-03-25,295.42
JPM,2026-03-26,291.66
JPM,2026-03-27,282.84
JPM,2026-03-30,283.77
JPM,2026-03-31,294.16
LLY,2026-03-24,903.02
LLY,2026-03-25,916.31
LLY,2026-03-26,897.0
LLY,2026-03-27,878.24
LLY,2026-03-30,886.63
LLY,2026-03-31,919.77
MSFT,2026-03-24,372.74
MSFT,2026-03-25,371.04
MSFT,2026-03-26,365.97
MSFT,2026-03-27,356.77
MSFT,2026-03-30,358.96
MSFT,2026-03-31,370.17
NVDA,2026-03-24,175.2
NVDA,2026-03-25,178.68
NVDA,2026-03-26,171.24
NVDA,2026-03-27,167.52
NVDA,2026-03-30,165.17
NVDA,2026-03-31,174.4
XOM,2026-03-24,165.38
XOM,2026-03-25,163.26
XOM,2026-03-26,165.43
XOM,2026-03-27,170.99
XOM,2026-03-30,171.47
XOM,2026-03-31,169.66
